match_id,date,home_team,away_team,home_score,away_score,tournament,neutral_site,home_elo_pre_x,away_elo_pre_x,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,competition_importance,result_label,goal_margin,total_goals,tournament_group,home_match_id,home_neutral_site,home_tournament_group,home_competition_importance,home_elo_pre_y,home_goals_for,home_goals_against,home_shots_for,home_shots_on_target_for,home_xg_for,home_xg_against,home_points,home_win_flag,home_goal_diff,home_form_points_last5,home_goal_diff_form_last5,home_goals_for_last5,home_goals_against_last5,home_shots_last5,home_shots_on_target_last5,home_xg_last5,home_xga_last5,home_win_rate_last5,home_elo_last,home_matches_played_prior,away_match_id,away_neutral_site,away_tournament_group,away_competition_importance,away_elo_pre_y,away_goals_for,away_goals_against,away_shots_for,away_shots_on_target_for,away_xg_for,away_xg_against,away_points,away_win_flag,away_goal_diff,away_form_points_last5,away_goal_diff_form_last5,away_goals_for_last5,away_goals_against_last5,away_shots_last5,away_shots_on_target_last5,away_xg_last5,away_xga_last5,away_win_rate_last5,away_elo_last,away_matches_played_prior,elo_diff,form_points_diff,goal_diff_form_diff,goals_for_diff,goals_against_diff,shots_diff,shots_on_target_diff,xg_diff,xga_diff,win_rate_diff,matches_played_diff
12,2012-01-13,New Zealand,Ivory Coast,3,1,Continental Cup,1,1658.3,1740.2,9,5,4,2,1.03,0.51,0.92,home_win,2,4,continental,12,1,continental,0.92,1658.3,3,1,9,4,1.03,0.51,3,1,2,1.0,0.0,1.0,1.0,5.0,2.0,0.97,1.94,0.0,1631.9,1,12,1,continental,0.92,1740.2,1,3,5,2,0.51,1.03,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,-159.11739999999986,-0.25,0.0,-0.4228333333333334,0.20666666666666678,-3.850666666666667,-0.9089999999999998,-0.463441666666667,-0.7786916666666666,-0.4,1
13,2012-01-14,South Africa,Paraguay,1,3,Qualifier,0,1673.0,1731.1,11,8,4,3,1.55,0.8,0.85,away_win,-2,4,qualifier,13,0,qualifier,0.85,1673.0,1,3,11,4,1.55,0.8,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,13,0,qualifier,0.85,1731.1,3,1,8,3,0.8,1.55,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2012-01-15,Czech Republic,Poland,1,2,World Cup,1,1758.2,1745.5,6,7,4,2,1.24,1.48,1.0,away_win,-1,3,world_cup,14,1,world_cup,1.0,1758.2,1,2,6,4,1.24,1.48,0,0,-1,1.0,0.0,1.0,1.0,5.0,1.0,1.25,0.89,0.0,1783.5,1,14,1,world_cup,1.0,1745.5,2,1,7,2,1.48,1.24,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,-7.517399999999952,-0.25,0.0,-0.4228333333333334,0.20666666666666678,-3.850666666666667,-1.9089999999999998,-0.18344166666666695,0.2713083333333334,-0.4,1
15,2012-01-15,Cameroon,Paraguay,2,1,Qualifier,0,1738.2,1734.1,6,8,2,4,0.81,0.77,0.85,home_win,1,3,qualifier,15,0,qualifier,0.85,1738.2,2,1,6,2,0.81,0.77,3,1,1,0.0,-1.0,0.0,1.0,9.0,2.0,1.12,1.51,0.0,1747.5,1,15,0,qualifier,0.85,1734.1,1,2,8,4,0.77,0.81,0,0,-1,3.0,2.0,3.0,1.0,8.0,3.0,0.8,1.55,1.0,1731.1,1,16.40000000000009,-3.0,-3.0,-3.0,0.0,1.0,-1.0,0.32000000000000006,0.040000000000000036,-1.0,0
16,2012-01-15,Brazil,England,3,1,Qualifier,0,1971.0,1934.7,15,4,4,1,2.74,1.38,0.85,home_win,2,4,qualifier,16,0,qualifier,0.85,1971.0,3,1,15,4,2.74,1.38,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,16,0,qualifier,0.85,1934.7,1,3,4,1,1.38,2.74,0,0,-2,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,8.666666666666666,3.0,1.5099999999999998,1.22,0.3333333333333333,1926.1,3,-135.08259999999996,-0.41666666666666674,-0.6666666666666666,-0.24383333333333335,-0.20666666666666678,0.18400000000000105,-0.09100000000000019,-0.07655833333333284,0.058691666666666586,0.06666666666666671,-3
17,2012-01-17,Paraguay,Turkey,3,0,Qualifier,0,1740.8,1768.9,12,6,4,1,1.42,1.1,0.85,home_win,3,3,qualifier,17,0,qualifier,0.85,1740.8,3,0,12,4,1.42,1.1,3,1,3,1.5,0.5,2.0,1.5,8.0,3.5,0.785,1.1800000000000002,0.5,1734.1,2,17,0,qualifier,0.85,1768.9,0,3,6,1,1.1,1.42,0,0,-3,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,-56.91740000000004,0.25,0.5,0.5771666666666666,-0.2933333333333332,-0.8506666666666671,0.5910000000000002,-0.6484416666666669,-0.018691666666666773,0.09999999999999998,2
18,2012-01-18,Cameroon,Czech Republic,5,2,Nations League,0,1698.4,1737.6,9,8,5,2,1.19,1.54,0.75,home_win,3,7,nations_league,18,0,nations_league,0.75,1698.4,5,2,9,5,1.19,1.54,3,1,3,1.5,0.0,1.0,1.0,7.5,2.0,0.9650000000000001,1.1400000000000001,0.5,1738.2,2,18,0,nations_league,0.75,1737.6,2,5,8,2,1.54,1.19,0,0,-3,0.5,-0.5,1.0,1.5,5.5,2.5,1.245,1.185,0.0,1758.2,2,-20.0,1.0,0.5,0.0,0.5,2.0,-0.5,-0.28,0.04499999999999993,0.5,0
19,2012-01-19,Belgium,Ivory Coast,1,1,Qualifier,0,1869.3,1748.4,16,7,4,6,1.86,0.46,0.85,draw,0,2,qualifier,19,0,qualifier,0.85,1869.3,1,1,16,4,1.86,0.46,1,0,0,3.0,2.0,2.0,0.0,10.0,2.0,1.74,1.04,1.0,1861.4,1,19,0,qualifier,0.85,1748.4,1,1,7,6,0.46,1.86,1,0,0,0.0,-2.0,1.0,3.0,5.0,2.0,0.51,1.03,0.0,1740.2,1,121.20000000000005,3.0,4.0,1.0,3.0,5.0,0.0,1.23,-0.010000000000000009,1.0,0
20,2012-01-19,Ukraine,Senegal,1,3,Friendly,0,1710.1,1853.7,6,8,2,3,1.37,1.5,0.5,away_win,-2,4,friendly,20,0,friendly,0.5,1710.1,1,3,6,2,1.37,1.5,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,20,0,friendly,0.5,1853.7,3,1,8,3,1.5,1.37,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2012-01-20,Turkey,Morocco,1,5,World Cup,1,1772.8,1870.4,8,8,4,5,1.06,1.61,1.0,away_win,-4,6,world_cup,21,1,world_cup,1.0,1772.8,1,5,8,4,1.06,1.61,0,0,-4,0.0,-3.0,0.0,3.0,6.0,1.0,1.1,1.42,0.0,1768.9,1,21,1,world_cup,1.0,1870.4,5,1,8,5,1.61,1.06,3,1,4,2.0,1.0,1.5,0.5,10.0,2.0,1.415,1.12,0.5,1883.1,2,-114.19999999999982,-2.0,-4.0,-1.5,-2.5,-4.0,-1.0,-0.31499999999999995,-0.2999999999999998,-0.5,-1
23,2012-01-21,Argentina,Brazil,0,1,Continental Cup,1,1994.9,1983.3,5,9,3,2,1.87,1.62,0.92,away_win,-1,1,continental,23,1,continental,0.92,1994.9,0,1,5,3,1.87,1.62,0,0,-1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,23,1,continental,0.92,1983.3,1,0,9,2,1.62,1.87,3,1,1,3.0,2.0,3.0,1.0,15.0,4.0,2.74,1.38,1.0,1971.0,1,-179.98260000000005,-1.75,-2.0,-1.5771666666666666,-0.20666666666666678,-6.149333333333333,-1.0910000000000002,-1.3065583333333333,0.2186916666666665,-0.6,-1
22,2012-01-21,New Zealand,Senegal,1,1,Qualifier,0,1633.7,1832.4,5,6,1,1,0.78,0.96,0.85,draw,0,2,qualifier,22,0,qualifier,0.85,1633.7,1,1,5,1,0.78,0.96,1,0,0,2.0,1.0,2.0,1.0,7.0,3.0,1.0,1.225,0.5,1658.3,2,22,0,qualifier,0.85,1832.4,1,1,6,1,0.96,0.78,1,0,0,3.0,2.0,3.0,1.0,8.0,3.0,1.5,1.37,1.0,1853.7,1,-195.4000000000001,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-0.5,0.14500000000000002,-0.5,1
25,2012-01-21,Switzerland,Sweden,1,2,Friendly,0,1837.9,1751.7,10,6,5,2,1.76,1.17,0.5,away_win,-1,3,friendly,25,0,friendly,0.5,1837.9,1,2,10,5,1.76,1.17,0,0,-1,0.0,-2.0,0.0,2.0,6.0,1.0,1.165,1.71,0.0,1842.9,2,25,0,friendly,0.5,1751.7,2,1,6,2,1.17,1.76,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,51.88260000000014,-1.25,-2.0,-1.4228333333333334,-0.7933333333333332,-2.850666666666667,-1.9089999999999998,-0.2684416666666669,-0.5486916666666666,-0.4,2
24,2012-01-21,Denmark,Mexico,1,0,World Cup,1,1863.1,1826.8,9,8,2,3,1.76,1.12,1.0,home_win,1,1,world_cup,24,1,world_cup,1.0,1863.1,1,0,9,2,1.76,1.12,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,24,1,world_cup,1.0,1826.8,0,1,8,3,1.12,1.76,0,0,-1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,2012-01-24,Portugal,Sweden,2,1,World Cup,1,1894.9,1740.1,12,4,2,1,1.52,0.9,1.0,home_win,1,3,world_cup,26,1,world_cup,1.0,1894.9,2,1,12,2,1.52,0.9,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,26,1,world_cup,1.0,1740.1,1,2,4,1,0.9,1.52,0,0,-1,3.0,1.0,2.0,1.0,6.0,2.0,1.17,1.76,1.0,1751.7,1,39.31739999999991,-1.75,-1.0,-0.5771666666666666,-0.20666666666666678,2.850666666666667,0.9089999999999998,0.263441666666667,0.5986916666666666,-0.6,-1
27,2012-01-25,France,Norway,2,1,World Cup,1,1959.1,1790.9,12,4,4,1,2.16,0.98,1.0,home_win,1,3,world_cup,27,1,world_cup,1.0,1959.1,2,1,12,4,2.16,0.98,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,27,1,world_cup,1.0,1790.9,1,2,4,1,0.98,2.16,0,0,-1,0.0,-2.0,1.0,3.0,9.0,3.0,1.44,1.7,0.0,1785.8,1,5.217399999999998,1.25,2.0,0.4228333333333334,1.7933333333333332,-0.14933333333333287,-0.09100000000000019,-0.006558333333333,0.5386916666666666,0.4,-1
28,2012-01-27,Japan,Denmark,3,0,Continental Cup,0,1813.3,1864.0,7,4,3,0,1.84,1.6,0.92,home_win,3,3,continental,28,0,continental,0.92,1813.3,3,0,7,3,1.84,1.6,3,1,3,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,28,0,continental,0.92,1864.0,0,3,4,0,1.6,1.84,0,0,-3,3.0,1.0,1.0,0.0,9.0,2.0,1.76,1.12,1.0,1863.1,1,-72.08259999999996,-1.75,-1.0,0.4228333333333334,-1.2066666666666668,-0.14933333333333287,0.9089999999999998,-0.32655833333333306,-0.04130833333333328,-0.6,-1
29,2012-01-27,Sweden,Ghana,1,1,Qualifier,1,1760.1,1712.9,9,10,3,3,1.33,0.78,0.85,draw,0,2,qualifier,29,1,qualifier,0.85,1760.1,1,1,9,3,1.33,0.78,1,0,0,1.5,0.0,1.5,1.5,5.0,1.5,1.035,1.6400000000000001,0.5,1740.1,2,29,1,qualifier,0.85,1712.9,1,1,10,3,0.78,1.33,1,0,0,1.0,0.0,0.5,0.5,6.5,2.5,0.9099999999999999,1.15,0.0,1705.3,2,34.799999999999955,0.5,0.0,1.0,-1.0,-1.5,-1.0,0.125,-0.4900000000000002,0.5,0
30,2012-01-28,Wales,Ukraine,0,2,Friendly,0,1727.5,1756.0,4,5,0,2,1.56,0.51,0.5,away_win,-2,2,friendly,30,0,friendly,0.5,1727.5,0,2,4,0,1.56,0.51,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,30,0,friendly,0.5,1756.0,2,0,5,2,0.51,1.56,3,1,2,0.0,-2.0,1.0,3.0,6.0,2.0,1.37,1.5,0.0,1710.1,1,80.91740000000004,1.25,2.0,0.4228333333333334,1.7933333333333332,2.850666666666667,0.9089999999999998,0.06344166666666684,0.3386916666666666,0.4,-1
31,2012-01-29,Croatia,Ecuador,1,2,Qualifier,0,1860.1,1768.8,12,7,3,2,1.59,0.47,0.85,away_win,-1,3,qualifier,31,0,qualifier,0.85,1860.1,1,2,12,3,1.59,0.47,0,0,-1,1.0,0.0,0.5,0.5,5.5,1.5,1.1099999999999999,0.595,0.0,1854.8,2,31,0,qualifier,0.85,1768.8,2,1,7,2,0.47,1.59,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,63.7826,-0.25,0.0,-0.9228333333333334,0.7066666666666668,-3.350666666666667,-1.4089999999999998,-0.32344166666666707,0.5663083333333334,-0.4,2
32,2012-01-29,Algeria,Colombia,1,2,Friendly,0,1747.3,1833.5,5,8,2,2,1.1,1.57,0.5,away_win,-1,3,friendly,32,0,friendly,0.5,1747.3,1,2,5,2,1.1,1.57,0,0,-1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,32,0,friendly,0.5,1833.5,2,1,8,2,1.57,1.1,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2012-01-30,Morocco,Wales,3,1,Nations League,0,1880.7,1746.0,8,4,3,2,1.53,1.04,0.75,home_win,2,4,nations_league,35,0,nations_league,0.75,1880.7,3,1,8,3,1.53,1.04,3,1,2,2.3333333333333335,2.0,2.6666666666666665,0.6666666666666666,9.333333333333334,3.0,1.4799999999999998,1.0999999999999999,0.6666666666666666,1870.4,3,35,0,nations_league,0.75,1746.0,1,3,4,2,1.04,1.53,0,0,-2,0.0,-2.0,0.0,2.0,4.0,0.0,1.56,0.51,0.0,1727.5,1,142.9000000000001,2.3333333333333335,4.0,2.6666666666666665,1.3333333333333335,5.333333333333334,3.0,-0.0800000000000003,-0.5899999999999999,0.6666666666666666,2
33,2012-01-30,Tunisia,England,1,4,Friendly,1,1695.2,1976.3,9,9,5,4,1.45,1.71,0.5,away_win,-3,5,friendly,33,1,friendly,0.5,1695.2,1,4,9,5,1.45,1.71,0,0,-3,3.0,2.0,2.5,0.5,8.5,3.5,1.325,0.855,1.0,1724.8,2,33,1,friendly,0.5,1976.3,4,1,9,4,1.71,1.45,3,1,3,1.25,0.0,1.5,1.5,7.5,2.5,1.4775,1.6,0.25,1934.7,4,-209.9000000000001,1.75,2.0,1.0,1.0,1.0,1.0,-0.15250000000000008,0.7450000000000001,0.75,-2
34,2012-01-30,South Africa,Ivory Coast,0,1,World Cup,1,1678.6,1747.4,7,11,0,4,0.62,1.11,1.0,away_win,-1,1,world_cup,34,1,world_cup,1.0,1678.6,0,1,7,0,0.62,1.11,0,0,-1,0.0,-2.0,1.0,3.0,11.0,4.0,1.55,0.8,0.0,1673.0,1,34,1,world_cup,1.0,1747.4,1,0,11,4,1.11,0.62,3,1,1,0.5,-1.0,1.0,2.0,6.0,4.0,0.485,1.445,0.0,1748.4,2,-75.40000000000009,-0.5,-1.0,0.0,-1.0,5.0,0.0,1.065,0.645,0.0,-1
36,2012-01-31,Saudi Arabia,Ecuador,2,3,World Cup,1,1692.4,1752.9,6,8,2,3,1.04,1.1,1.0,away_win,-1,5,world_cup,36,1,world_cup,1.0,1692.4,2,3,6,2,1.04,1.1,0,0,-1,0.0,-1.0,1.0,2.0,6.0,4.0,0.38,1.38,0.0,1685.6,1,36,1,world_cup,1.0,1752.9,3,2,8,3,1.1,1.04,3,1,1,3.0,1.0,2.0,1.0,7.0,2.0,0.47,1.59,1.0,1768.8,1,-83.20000000000005,-3.0,-2.0,-1.0,-1.0,-1.0,2.0,-0.08999999999999997,0.2100000000000002,-1.0,0
37,2012-02-02,Wales,Cameroon,0,1,Friendly,0,1734.1,1698.3,6,5,2,1,1.3,0.89,0.5,away_win,-1,1,friendly,37,0,friendly,0.5,1734.1,0,1,6,2,1.3,0.89,0,0,-1,0.0,-2.0,0.5,2.5,4.0,1.0,1.3,1.02,0.0,1746.0,2,37,0,friendly,0.5,1698.3,1,0,5,1,0.89,1.3,3,1,1,2.0,1.0,2.3333333333333335,1.3333333333333333,8.0,3.0,1.04,1.2733333333333334,0.6666666666666666,1698.4,3,47.59999999999991,-2.0,-3.0,-1.8333333333333335,-1.1666666666666667,-4.0,-2.0,0.26,0.2533333333333334,-0.6666666666666666,-1
